,Fechas,Links
69,"enero 23, 2023",https://lopezobrador.org.mx/2023/01/23/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-895/
70,"enero 20, 2023",https://lopezobrador.org.mx/2023/01/20/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-894/
71,"enero 18, 2023",https://lopezobrador.org.mx/2023/01/18/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-892/
72,"enero 17, 2023",https://lopezobrador.org.mx/2023/01/17/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-891/
73,"enero 16, 2023",https://lopezobrador.org.mx/2023/01/16/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-890/
74,"enero 14, 2023",https://lopezobrador.org.mx/2023/01/14/version-estenografica-plan-de-apoyo-a-poblacion-afectada-por-huracan-agatha-en-oaxaca/
75,"enero 13, 2023",https://lopezobrador.org.mx/2023/01/13/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-889/
76,"enero 12, 2023",https://lopezobrador.org.mx/2023/01/12/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-888/
77,"enero 11, 2023",https://lopezobrador.org.mx/2023/01/11/palabras-del-presidente-andres-manuel-lopez-obrador-durante-la-reunion-bilateral-mexico-canada/
78,"enero 10, 2023",https://lopezobrador.org.mx/2023/01/10/palabras-del-presidente-andres-manuel-lopez-obrador-durante-el-mensaje-a-medios-de-la-x-cumbre-de-lideres-de-america-del-norte/
79,"enero 9, 2023",https://lopezobrador.org.mx/2023/01/09/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-887/
80,"enero 5, 2023",https://lopezobrador.org.mx/2023/01/05/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-885/
81,"enero 2, 2023",https://lopezobrador.org.mx/2023/01/02/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-882/
82,"diciembre 30, 2022",https://lopezobrador.org.mx/2022/12/30/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-881/
83,"diciembre 28, 2022",https://lopezobrador.org.mx/2022/12/28/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-879/
84,"diciembre 27, 2022",https://lopezobrador.org.mx/2022/12/27/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-878/
85,"diciembre 26, 2022",https://lopezobrador.org.mx/2022/12/26/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-877/
86,"diciembre 23, 2022",https://lopezobrador.org.mx/2022/12/23/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-tabasco-3/
87,"diciembre 22, 2022",https://lopezobrador.org.mx/2022/12/22/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-quintana-roo-4/
88,"diciembre 21, 2022",https://lopezobrador.org.mx/2022/12/21/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-876/
89,"diciembre 20, 2022",https://lopezobrador.org.mx/2022/12/20/version-estenografica-reunion-con-legisladores-federales-desde-palacio-nacional-2/
90,"diciembre 20, 2022",https://lopezobrador.org.mx/2022/12/20/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-875/
91,"diciembre 19, 2022",https://lopezobrador.org.mx/2022/12/19/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-874/
